Kazakhstan;16348000;15815626;14883626;15147029;16092701;16321581;16556600;16791425;17035275;17289224;17544126;17797032
Kenya;23402507;27346456;31450483;36048288;40237204;41350152;42486839;43646629;44826849;46024250;47236259;48461567
Korea;42869283;45092991;47008111;48184561;49307835;49554112;49936638;50199853;50428893;50746659;51014947;51245707
Kuwait;2099615;1610651;2050741;2276623;2818939;2998083;3191051;3395556;3598385;3782450;3935794;4052584
Latvia;2663151;2485056;2367550;2238799;2141669;2097555;2059709;2034319;2012647;1993782;1977527;1960424
Lebanon;2703016;3033394;3235366;3986852;4183156;4337141;4588368;4916404;5276102;5603279;5851479;6006668
Libya;4436661;4948798;5355751;5792688;6121053;6169140;6193501;6198258;6195970;6204108;6234955;6293253
Lithuania;3697838;3629102;3499536;3322528;3162916;3097282;3028115;2987773;2957689;2932367;2904910;2872298
Luxembourg;381850;408625;436300;465158;497783;506953;518347;530946;543360;556319;569604;582972
Malaysia;18038321;20495597;23185608;25659393;27605383;28112289;28635128;29170456;29706724;30228017;30723155;31187265
Malta;354170;377419;390087;403834;412477;414508;416268;419455;423374;427364;431874;436947
Mexico;85357874;94045579;101719673;108472228;115505228;117318941;119090017;120828307;122535969;124221600;125890949;127540423
Morocco;24879136;27075232;28849621;30521070;31989897;32409639;32858823;33333789;33824769;34318082;34803322;35276786
Myanmar;40626250;43237792;46095462;48482614;49800690;50155896;50553031;50986514;51448196;51924182;52403669;52885223
Netherlands;14951510;15459006;15925513;16319868;16530388;16615394;16693074;16754962;16804432;16865008;16939923;17018408
New Zealand;3329800;3673400;3857700;4133900;4302600;4350700;4384000;4408100;4442100;4509700;4595700;4692700
Nigeria;95269988;108011465;122352009;138939478;154402181;158578261;162877076;167297284;171829303;176460502;181181744;185989640
Norway;4241473;4359184;4490967;4623291;4828726;4889252;4953088;5018573;5079623;5137232;5188607;5232929
Oman;1812160;2204283;2267991;2511269;2882942;3041460;3237268;3464644;3711481;3960925;4199810;4424762
Pakistan;107678614;122829148;138523285;153909667;167049580;170560182;174184265;177911533;181712595;185546257;189380513;193203476
Panama;2471009;2739730;3030347;3330465;3579385;3643222;3707782;3772938;3838462;3903986;3969249;4034119
Paraguay;4213742;4760850;5302700;5795494;6127837;6209877;6293783;6379219;6465740;6552584;6639119;6725308
Peru;21826658;24038760;25914879;27610410;29001507;29373646;29759989;30158966;30565716;30973354;31376671;31773839
Philippines;61947348;69835715;77991569;86274237;92220879;93726624;95277940;96866642;98481032;100102249;101716359;103320222
Poland;38110782;38594998;38258629;38165445;38151603;38042794;38063255;38063164;38040196;38011735;37986412;37948016
Portugal;9983218;10026176;10289898;10503330;10568247;10573100;10557560;10514844;10457295;10401062;10358076;10324611
Qatar;476445;513455;592267;864863;1590780;1779676;1952054;2109568;2250473;2374419;2481539;2569804
Romania;23201835;22684270;22442971;21319685;20367487;20246871;20147528;20058035;19983693;19908979;19815481;19705301
Russia;148292000;148375726;146596557;143518523;142785342;142849449;142960868;143201676;143506911;143819666;144096870;144342396
Saudi Arabia;16326815;18735841;20764312;23905654;26661492;27425676;28238020;29086357;29944476;30776722;31557144;32275687
Senegal;7555617;8746606;9884052;11251266;12550917;12916229;13300910;13703513;14120320;14546111;14976994;15411614
Serbia;7586000;7625357;7516346;7440769;7320807;7291436;7234099;7199077;7164132;7130576;7095383;7057412
Singapore;3047132;3524506;4027887;4265762;4987573;5076732;5183688;5312437;5399162;5469724;5535002;5607283
Slovakia;5299187;5361999;5388720;5372807;5386406;5391428;5398384;5407579;5413393;5418649;5423801;5428704
Slovenia;1998161;1989872;1988925;2000474;2039669;2048583;2052843;2057159;2059953;2061980;2063531;2064845
South Africa;36793490;41426810;44896856;47606670;50255813;50979432;51729345;52506515;53311955;54146734;55011976;55908865
Spain;38867322;39724050;40567864;43653155;46362946;46576897;46742697;46773055;46620045;46480882;46447697;46443959
Sri Lanka;17078000;18074000;18655000;19373000;19968000;20119000;20271000;20425000;20585000;20771000;20966000;21203000
Sudan;20147590;24102986;27250535;30911914;33650619;34385963;35167314;35990192;36849918;37737913;38647803;39578828
Sweden;8558835;8826939;8872109;9029572;9298515;9378126;9449213;9519374;9600379;9696110;9799186;9903122
Switzerland;6715519;7040687;7184250;7437115;7743831;7824909;7912398;7996861;8089346;8188649;8282396;8372098
Syria;12446171;14345492;16410848;18294611;20824893;21018834;20863993;20420701;19809141;19203090;18734987;18430453
Thailand;56582821;59491790;62958021;65425470;66881867;67208808;67530130;67843979;68143065;68416772;68657600;68863514
Trinidad and Tobago;1221900;1255001;1267984;1296934;1321618;1328100;1334788;1341588;1348248;1354493;1360092;1364962
Tunisia;8232797;9113975;9699197;10102482;10521834;10639931;10761467;10886668;11014558;11143908;11273661;11403248
Turkey;53921699;58486381;63240121;67903406;71339185;72326914;73409455;74569867;75787333;77030628;78271472;79512426
Turkmenistan;3683966;4207840;4516131;4754641;5007950;5087210;5174061;5267839;5366277;5466241;5565284;5662544
Uganda;17438907;20550291;24039274;28543940;32771895;33915133;35093648;36306796;37553726;38833338;40144870;41487965
Ukraine;51892000;51512299;49175848;47105150;46053300;45870700;45706100;45593300;45489600;45271947;45154029;45004645
United Arab Emirates;1860174;2448820;3154925;4579562;7666393;8270684;8672475;8900453;9006263;9070867;9154302;9269612
United Kingdom;57247586;58019030;58892514;60401206;62276270;62766365;63258918;63700300;64128226;64613160;65128861;65637239
Tanzania;25459604;29960776;34178042;39410545;44664231;46098591;47570902;49082997;50636595;52234869;53879957;55572201
United States of America;249623000;266278000;282162411;295516599;306771529;309348193;311663358;313998379;316204908;318563456;320896618;323127513
Uruguay;3109989;3224804;3321245;3325612;3362755;3374415;3385624;3396777;3408005;3419546;3431552;3444006
Uzbekistan;20510000;22785000;24650400;26167000;27767400;28562400;29339400;29774500;30243200;30757700;31298900;31848200
Venezuela;19861956;22188667;24488340;26784161;28587323;29028033;29463291;29893080;30317848;30738378;31155134;31568179
Viet Nam;66016700;71995500;77630900;82392100;86025000;86932500;87860300;88809200;89759500;90728900;91713300;92701100
Yemen;12057039;15320653;17874725;20582927;22974929;23606779;24252206;24909969;25576322;26246327;26916207;27584213
Zambia;8027253;9137077;10531221;12052156;13456417;13850033;14264756;14699937;15153210;15620974;16100587;16591390
Zimbabwe;10183113;11320346;12222251;12940032;13810599;14086317;14386649;14710826;15054506;15411675;15777451;16150362
